Merged_ID,Date of Experiment_Day_1,Date_Imaged,Exclude,MouseID,Genotype,Sex,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Stitch.tif found? ,Comments,Category,Area,Mean,Min,Max,IntDen,RawIntDen
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,TRUE,,Background_2,9152,19.964,0,115,182707,182707
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,TRUE,,Background_3,10692,28.07,0,142,300125,300125
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,TRUE,,Background_4,6732,16.033,0,86,107934,107934
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,TRUE,,Contralateral,1207179,36.586,0,255,44165524,44165524
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,TRUE,,Ipsilateral,1312107,30.952,0,255,40612712,40612712
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,TRUE,,Background_1,8184,10.995,0,106,89981,89981
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,TRUE,,Background_2,14840,17.558,0,163,260564,260564
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,TRUE,,Background_3,9176,26.781,0,188,245741,245741
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,TRUE,,Background_4,8652,29.427,0,193,254603,254603
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,TRUE,,Contralateral,1216710,45.317,0,255,55137353,55137353
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,TRUE,,Ipsilateral,1408224,31.662,0,255,44587189,44587189
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,TRUE,,Background_1,8604,17.017,0,113,146418,146418
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,TRUE,,Background_2,8652,12.779,0,70,110568,110568
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,TRUE,,Background_3,11204,13.577,0,102,152117,152117
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,TRUE,,Background_4,12492,14.428,0,86,180231,180231
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,TRUE,,Contralateral,1353993,35.106,0,255,47533432,47533432
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,TRUE,,Ipsilateral,1221333,33.12,0,255,40450763,40450763
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,TRUE,,Background_1,9044,10.058,0,96,90965,90965
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,TRUE,,Background_2,9044,10.695,0,103,96725,96725
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,TRUE,,Background_3,9044,10.702,0,105,96789,96789
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,TRUE,,Background_4,8652,9.302,0,78,80482,80482
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,TRUE,,Contralateral,1505190,26.453,0,255,39816749,39816749
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,TRUE,,Ipsilateral,1325007,25.798,0,255,34182061,34182061
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,TRUE,,Background_1,7696,21.133,0,169,162638,162638
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,TRUE,,Background_2,7652,11.531,0,82,88235,88235
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,TRUE,,Background_3,7696,11.73,0,108,90273,90273
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,TRUE,,Background_4,6108,15.969,0,112,97539,97539
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,TRUE,,Contralateral,1255131,30.991,0,255,38898303,38898303
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,TRUE,,Ipsilateral,1182846,32.185,0,255,38070310,38070310
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,TRUE,,Background_1,6788,23.319,0,135,158289,158289
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,TRUE,,Background_2,11304,21.277,0,123,240519,240519
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,TRUE,,Background_3,8652,22.088,0,170,191103,191103
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,TRUE,,Background_4,6252,14.906,0,95,93191,93191
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,TRUE,,Contralateral,1161009,41.407,0,255,48073798,48073798
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,TRUE,,Ipsilateral,1084266,39.627,0,255,42965994,42965994
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,TRUE,,Background_1,7200,13.534,0,166,97445,97445
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,TRUE,,Background_2,13004,11.051,0,104,143711,143711
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,TRUE,,Background_3,9676,9.708,0,90,93936,93936
