Batch,MouseID,Day,No_Move_Object ,Move_Object ,Genotype,Sex,Treatment,Percent_Investigation_Time,Discrimination_Index,Day_Treatment
Six,593.00,Training,23.9,9,WT,Female,MPTP,27.3556231,-45.2887538,TrainingMPTP
Six,599.00,Training,23.1,18.6,WT,Female,MPTP,44.60431655,-10.79136691,TrainingMPTP
Six,593.00,Testing,56.9,10.7,WT,Female,MPTP,15.82840237,-68.34319527,TestingMPTP
Six,599.00,Testing,25.1,29.3,WT,Female,MPTP,53.86029412,7.720588235,TestingMPTP
Six,606.00,Testing,27.4,8.9,WT,Female,Saline,24.51790634,-50.96418733,TestingSaline
Six,608.00,Testing,26.2,10.3,WT,Female,Saline,28.21917808,-43.56164384,TestingSaline
Six,550.00,Training,27.3,126.5,WT,Male ,Saline,82.2496749,64.4993498,TrainingSaline
Six,584.00,Training,0.9,3.5,WT,Male ,Saline,79.54545455,59.09090909,TrainingSaline
Six,550.00,Testing,41.7,6.2,WT,Male ,Saline,12.94363257,-74.11273486,TestingSaline
Six,584.00,Testing,8.9,5.3,WT,Male ,Saline,37.32394366,-25.35211268,TestingSaline
