"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz"	"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz"	"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz"	"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz"	"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz"	"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz"	"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz"	"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz"
"PANTO-PWY"	8440.07872943728	3665.92314635123	3734.89357290918	4251.43416202485	9317.86036856026	4176.41286555117	2037.11893395077	5627.73033902333	5440.66998714615	4335.49540937921	5228.8472938948	3051.28425560966	1906.16610181377	2181.93433088386	3026.41158477524	4333.6819342683	2559.57232475151	4121.93925207369	3729.43098149304	4540.31023586592	5329.60006625508	2760.09918362931	2081.67051036638	2820.33506234116	3909.18674696117	3610.51956455838	3734.04326340976	4822.16516503633	10675.724444057	4482.6309669261	4519.53600929255	6730.92583200392	2224.89981889251	3406.40233089793
"PANTOSYN-PWY"	10440.1945584776	4767.20910101888	4615.66083619907	5539.99464078331	11287.5861317364	5150.32530973512	2543.62549528661	6729.55971176448	6653.69368662369	5266.24472137059	6300.21551552296	3896.9100403712	2459.73658043539	3022.78230602567	3851.91160901399	5383.06742543672	3223.61978358755	5029.79029004098	4729.67218788158	5912.08168650566	6533.21376343847	3387.25155610728	2742.06044162022	3428.93149053438	4821.00380268077	4470.71651452759	4605.62938303935	5855.00368832356	11309.6218642027	5487.81074676486	5437.50257582084	8049.07747810368	2787.88415340871	4285.9472837893
"PENTOSE-P-PWY"	14487.5545168098	3971.14676995595	6431.25736269534	7807.05211923846	12860.3208696004	6481.43612529793	2464.97645460176	7610.89057671878	7184.90363099585	5743.63042547051	6638.94138375522	4559.17927212952	3238.7028172539	6075.27071113234	5556.73425139586	7794.66554626539	5026.24242123421	5581.3044691145	5422.18070538506	6684.83587881027	8644.4573664689	3981.58214917335	3444.95474588536	3934.2148033808	5876.34811317427	5892.38491984554	5706.62407718162	9018.72466353057	11623.8745032917	6102.64312419868	5476.41869788417	7243.08677295908	3061.35464377754	6058.36997338158
"PEPTIDOGLYCANSYN-PWY"	20935.1137176702	11840.8848170758	9514.37838444313	15373.5050947162	19697.3065801863	9576.55342039098	4917.22922870332	11151.3065016005	11059.3901411618	8678.99976502724	11125.2173351398	9000.519137616	6194.11994259999	13810.8291464508	8697.45012779798	10945.5195140799	7734.55248345099	8921.99055895475	9528.30728477833	12106.5640166045	12738.7003361691	6455.32360717301	6349.43999012265	5995.11604250978	9528.0672903918	8791.61062629798	8947.56405163387	11927.4184678627	13276.8128550161	9665.73075869184	9500.11254992046	14287.7325571742	5740.06148507916	9111.91064519566
"PHOSLIPSYN-PWY"	21849.4757556205	12890.7724649582	9817.76022509661	16885.0249560829	19932.9236738413	9605.07615546314	5118.95043241476	10801.6673846024	10595.7208411818	8171.16768333585	11577.0284732696	9773.8719451442	6641.4575033545	15531.6260107274	9034.57606249465	11075.8858323479	8267.8947259033	8949.72784092598	9525.68832996232	11943.0570840323	12650.1653686958	6762.90866191842	6118.37701045764	5924.53054044936	9703.76844427927	8931.10788579385	9254.45226019317	11813.2262822087	13622.8998398986	9602.85651688709	9893.33855843438	15077.8866012787	5800.79701693714	9288.32064472133
"POLYAMINSYN3-PWY"	1676.16999267994	170.383745174693	368.781484537803	1031.66055977978	546.344581240129	232.637084752602	233.263333833206	517.598839903225	464.475093170004	268.431129219901	522.640661857853	597.298328013796	71.7396644732011	67.2385281405084	632.741304005822	403.169490141758	190.067030626481	260.224996769476	334.772505059212	417.387192991426	507.763452739101	225.07867588911	104.02859396077	171.74262593391	238.637031941438	355.170867294931	360.090582778441	392.929287494647	803.7444120835	549.517187706818	514.236624179689	1096.22659531723	154.90586768252	552.67216641319
"POLYAMSYN-PWY"	1779.932413811	281.738272862753	504.024438489353	1088.35075890134	1549.80600984005	635.131453062045	289.111993743055	551.808513667178	487.771433324251	505.473569593862	630.510165520619	624.744743140775	175.251976874457	286.437707484209	711.586916999285	488.008782675028	204.142232511593	417.111504577411	466.560638533067	585.93140057427	1074.33432101825	236.496809782855	123.580129367391	403.1843632174	531.984290596846	552.771840601374	529.637914280524	924.221730792553	800.750053910808	779.170520075372	529.160860598045	1128.14767106915	416.942679107157	605.480643889892
"POLYISOPRENSYN-PWY"	11565.3114527909	5319.29315823632	4932.03216503322	6145.29131099182	10965.4253289378	6254.65597055431	2627.17647778562	7252.48106806239	7744.44482458796	5677.33913286205	5738.51015997102	4069.41191090966	3040.99282570134	6184.89227976513	5763.66915607537	6959.80783243394	4287.55786154455	5317.58184896037	5226.27084986856	7329.17087414592	7635.07060309528	3282.60139841463	4842.85365952071	3933.13246366843	5151.04893223043	4825.59571144673	4738.71937106207	8219.05399395059	11904.1591474234	5813.95014651864	5026.97275158082	7477.9184858275	2852.44836548848	5575.47640375352
"PPGPPMET-PWY"	0	0	0	226.166121944798	189.238864285135	0	0	39.9416784075183	0	9.99529409333288	24.9779089588755	14.9899157165365	0	14.9947347328376	0	0	0	17.4856723724853	0	0	0	19.9758667598598	1.24990346433368	0	29.9624702291701	0	0	4.99918195321191	102.803242937991	0	0	19.9880717439164	0	0
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY"	0	0	0	0	12.3971539924067	10.7952682770103	0	0	0	0	9.19741453991396	0	0	0	0	0	0	0	0	0	0	1.59986263205567	1.33322542791243	0	0	0	0	0	0	0	0	0	0	0
"PRPP-PWY"	6197.79102327581	1515.98922039181	2122.96640803906	4042.4255862673	6261.35994703951	2789.51761945047	819.575434453274	3456.26152113494	3731.76088385487	3224.19141595681	4119.75597719216	1548.24371756727	2054.76952773693	2551.70017957935	3563.99414426241	2623.38374415704	1142.88859587683	2041.68425753969	2325.502699119	3265.55562653586	3210.27171678443	1769.51701286922	1264.79028297781	731.44118086661	3770.25084343748	2121.23759301612	2223.43136706562	4161.74254972996	9752.58664699554	3132.12666907931	1952.35214595671	3646.01410479778	1171.67443334293	2056.41773382914
"PWY-1269"	4484.09860221373	2077.50367057275	2023.24090929685	1566.07940201511	5220.88733909612	2475.26611294069	1142.34606475878	3755.30998451325	4357.55856586028	2992.37676046423	2497.68821149035	1533.32412782323	977.924040400782	1106.32941387809	1623.08070960389	2151.65672934429	1202.09385136341	2558.60924931251	2354.57916262996	3101.86741411046	3269.08749964685	1194.32514664646	1387.42592460398	2152.61462242526	2332.31593288201	2201.85962792833	2089.64646946698	2986.69868379847	8974.94604207155	2822.70992160116	2180.76278774753	3322.87252394004	1324.55837707981	1938.06549871811
"PWY-1422"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-1541"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-181"	0	0	0	0	0	0	5.34027258506665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-1861"	11565.4457571573	1165.03751289126	3614.01489478913	4626.82033922766	3263.95611236919	1844.44691659339	1004.81755743734	4241.56326246365	5034.07122355709	1253.36709240216	2626.85674026704	3059.30073712695	788.38671169128	386.56798659941	2159.07986741033	3469.32090478079	4230.05967201778	2970.30153047431	2307.90183084374	3750.89370517076	3472.81101873472	1501.42439031664	500.668774516463	2558.49112493251	2489.04289327164	3152.41505890429	3353.93761244748	4061.35754660701	6273.83536724571	2126.73287860729	1782.13394006426	4594.88357051689	2830.83302150585	3785.72420411586
"PWY-2941"	11810.4975102433	2069.82530124679	4910.40688331777	5586.94877989062	9291.24644130287	6357.77077332709	1690.65158205745	5040.15698513595	5287.81330178365	3265.90996287665	4511.09400258069	3597.95372562994	3128.71534901562	5512.41328397892	5064.60124504572	6961.28723269075	3237.21381965506	3757.93553489785	4452.30789795831	7672.41906400502	5344.70622213441	2947.29056697726	4433.35424101831	2719.10925026526	5064.70758973132	4967.31071762486	4474.45913944735	7470.51232137716	4151.54297623769	4032.34125147734	3192.34720908754	2491.28440848569	3626.02024143046	5744.2524421264
"PWY-2942"	23113.3560239429	12251.241124204	10225.5530143924	16083.1260745102	20386.0368603371	9762.1491605618	5236.79028845521	11890.3929825739	12031.6721741879	8254.77528825215	11639.6202526015	9812.31214202568	6410.30738471956	13892.8931324255	8467.53827931875	11225.786926536	7810.5186315677	9513.25082420368	9701.13573310773	12611.4807634535	12302.1641264845	6688.8315784452	5851.23935281181	6193.03243756037	9954.74248092613	9477.55808407254	9715.1245353878	11826.0443432615	15604.5227642017	9915.69141193306	10342.0191586835	15619.3055768298	6055.56890497927	9678.83866796372
"PWY-3001"	19898.1276569905	12015.3952988403	9033.41370672477	14545.4994280277	18843.4169051387	8168.84711171765	4887.80350243197	10813.1242977163	11231.4895061338	7809.1995129901	10689.9794395863	9168.53991783053	5770.80184791616	12598.6871336927	6743.81348190794	9193.22796383791	7113.03593019582	8992.9983935961	8101.54818013949	10623.6939311664	10806.6466381562	5910.57928556522	3661.34948838299	5748.73512317839	8939.26141158988	8513.14207550409	8996.12326797987	9589.40609517392	15502.7167562392	8990.75535341541	9832.8034733748	15308.601224944	5443.53759613615	8525.26892380799
"PWY-3661"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-3781"	1915.77448293299	385.072328167285	475.578448185667	521.698813509311	2588.19765077494	2388.73188474335	349.434939166153	876.045949232222	1326.43142761327	256.437445269213	1379.21989526383	855.206958224411	152.418800024856	321.044729692401	365.296654654444	140.799120584359	161.769132454892	958.456137768494	676.06662931521	1245.12513175542	854.782046251761	618.486712076804	23.9404997751357	1919.85491705701	411.140256374092	302.094031207853	539.923832460552	623.124478607829	2772.80237223548	1020.53229065102	348.400708312755	481.364968340635	591.624770055134	398.305942874734
"PWY-4984"	4650.93988667138	283.585282926581	520.445307767789	869.911278415855	3997.50257568491	1900.6148959486	358.425720353	1329.99110481188	677.543487182334	630.811898740317	1472.54170669388	330.729130673893	506.95070143004	1629.27941817214	658.895388157439	1007.39408872341	842.66619609681	418.792734870559	1365.09150525922	436.966209860357	834.39731993016	959.271565207578	1663.43687426384	751.373327469471	883.219119714319	726.74749825479	568.124670862771	1683.4045378114	8493.24837813909	1667.24617456667	623.741797263176	1698.84959131386	695.136772556507	444.725108508736
"PWY-5005"	0	0	0	0	0	0	1.60690564262858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5022"	1379.95487161309	280.792863002692	469.722224762966	453.663140919797	1561.37152851599	720.109947643979	261.987802244755	641.105011107253	753.789265924771	338.83854329138	657.760407503368	684.556231489392	212.808058451307	258.972071089156	324.023718954291	326.380881595298	189.249208973692	587.106585331035	424.317584365983	719.678528092069	856.771384543045	400.297851686311	99.2333344763348	375.503579952267	692.633086501281	656.302945513815	492.433338182894	1017.39904553444	1227.81603689185	254.904672055481	433.365702611006	530.70632410576	174.177142857143	600.147347811927
"PWY-5028"	0	0	0	0	9.97816045387314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5097"	23267.5764609283	12681.962186236	10294.4289421054	16008.4482574143	20161.3878984543	9681.58544172464	5291.95767531356	11889.0216081462	12067.4091374184	8172.01103073345	11557.6933559607	9823.69748773178	6450.82194248132	14316.3395607937	8417.27261094171	11248.1427242977	7911.24907905959	9525.43070396992	9676.68936935931	12588.3400938065	12216.6885416941	6645.13459633213	5802.37341024871	6182.12809511575	9927.39435887544	9525.15125492266	9768.74590211411	11845.6692144474	15559.8094896181	9858.84972065754	10391.15082491	15598.1281760667	6045.81134268137	9728.48793987651
"PWY-5100"	25097.517796022	14016.4889537638	11980.4871906895	18100.7146742756	22125.8238423981	11551.3995431288	5864.15575310856	13345.620052943	13118.0819607672	10056.8283026139	12326.5449207699	10281.6873585868	7483.80674775573	18227.2148335014	11309.2528816421	14278.845677662	10940.7915706515	10319.5820456545	11101.5264277483	12725.1115141773	15398.7066020255	7421.94521667649	7690.03013631042	6319.55188191505	10958.9838221947	10040.7973779475	10661.8339572676	15423.8034798939	14316.0203042905	11005.4031143408	11082.6658720498	16214.0519676065	6676.43135147563	10730.6860287971
"PWY-5101"	23529.9513880775	14089.7314189699	10728.4927072452	17409.8445492509	21670.0307102933	8950.53178258718	5758.33378992342	12448.5898913028	13159.977900673	8457.56053754573	12419.266002002	11081.2584019868	6642.91509846069	14732.5313418181	7587.53316827097	10470.4211113878	8148.1553390023	10441.8957110827	8877.64273073799	11528.8807311411	11510.1175136571	6844.09057548275	3231.71585035799	6427.08411056748	10200.9205179754	9832.55785091617	10501.5911832052	10948.0843799548	18702.9155028316	10106.0389892135	11758.7447775944	17819.7076412464	6190.01948719561	10352.9320553533
"PWY-5103"	19369.5572935984	12431.9895112053	8860.23202759796	14441.6260257598	17973.6365160236	7519.70797795511	4883.79660626467	10594.7013042292	10784.0792081454	7143.08549915903	10475.3689868802	9225.06360820441	5693.64049272768	12864.5603675437	6155.61516522977	8519.82832563867	6909.93919498655	8703.7185932285	7316.82490584977	9469.4155220556	9593.42759739614	5675.18521100387	2628.50955905927	5414.6516912534	8569.03055713016	8047.43632118127	8688.23775611381	8819.98679490931	15284.3867354388	8629.65359953578	9857.02808386047	15270.9202001824	5251.1352818108	8112.75629435842
"PWY-5104"	22037.6478918613	13687.1009505551	10175.5911665933	16549.1805176052	20471.7659535754	8237.01346256785	5534.97530391596	11967.4269545036	12403.346156878	7896.92330683589	11475.1098340492	10284.3568581967	6382.69124814536	14273.9269540022	7352.96645494256	9988.19294050625	8130.39559593631	9833.03736023652	8706.97312387285	10748.6645756709	10935.8572429849	6372.07841009085	3082.85573187791	6051.50649161705	9693.08747275101	9209.02547596266	9886.07058874871	10436.735625574	17427.0992385764	9596.02271307738	10896.7471388599	17048.8607680961	5763.16466553382	9731.22791220893
"PWY-5121"	17533.2616860479	11669.3108523186	8141.51446036411	14029.8781251016	16827.8379252348	7297.44891875246	4538.19181493302	9745.31764391766	9600.86205915634	6943.2025477261	9868.63200037996	8232.92662371007	5423.76502077612	12560.0710576816	6480.13078628974	8283.56525121757	6506.87848002517	7908.25861141291	8007.69994360647	9411.32975176745	10193.0589823879	5570.56716814961	3696.12665380457	5267.9855706006	8095.99896837944	7316.49976009332	7787.28363243654	8535.90534024362	12731.9120117547	8247.3957943756	8836.68256454828	13952.631667052	5127.67992308248	7105.76025447132
"PWY-5154"	8642.73130613656	2295.10053152343	3775.05502978336	3534.45950590071	8496.43393979459	4061.01766884039	1538.96885932178	5471.05418663704	6111.73930924052	4413.37246393637	4526.6052515195	2513.32771962237	1844.65651544804	2162.01260561572	2542.51248255164	3965.19921537128	2340.13411997088	4039.88351104296	3816.17554817369	5010.39269844614	5230.87793806487	2300.64391797401	1552.59984893871	2512.65053922946	3982.95325961897	3777.29066153212	3616.42871136844	4742.34901640884	10116.5074499962	4270.58309100615	4069.57902943437	5562.04783701191	1923.80375540058	3801.25772496153
"PWY-5177"	35.6236079949092	2.98398130600549	0	13.921513662082	270.269086660078	173.572585459094	0	0	0	0	165.277930793673	0	11.6604642283635	23.4896534610019	9.90920722035927	9.83200357387798	0	11.8766545587133	3.97488517631762	0	23.6624720674582	69.1282305397079	1.90450842464305	7.88503622703029	44.5320578042051	0	0	0	35.6304208110046	7.92575378874565	0	5.99009043085685	0	0
"PWY-5178"	0	0	0	0	10.2230082321646	13.1755783952766	0	0	0	0	11.0583656094879	0	0	0	0	0	0	0	0	0	0	1.63484050098894	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5180"	0	0	0	0	87.5079075802763	145.936346665948	0	0	0	0	68.439559482575	0	0	0	0	0	0	0	0	0	0	1.9965939424173	0	0	0	0	0	0	69.7479556500542	0	0	0	0	0
"PWY-5181"	0	0	0	0	7.43020052527043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5182"	0	0	0	0	87.5079075802763	145.936346665948	0	0	0	0	68.439559482575	0	0	0	0	0	0	0	0	0	0	1.9965939424173	0	0	0	0	0	0	69.7479556500542	0	0	0	0	0
"PWY-5188"	7074.17414460309	7407.27875108076	3963.99897858958	6589.47437617146	7688.79181681542	3178.69902442442	2502.79790317134	4272.48016065608	3811.90370749506	2874.51712041069	4618.93043589963	4169.8589886964	3225.7446084669	8393.44867426871	2627.02906730768	3311.59240600581	3521.25058812714	3514.48293697194	2894.69713367171	3171.70397831995	3917.67220205895	2534.73398390965	491.991683898294	2197.10153387192	3906.46063438431	3292.53329370121	3735.10539926858	2940.19065633656	4944.4123771459	3810.07552568422	4516.80267051889	6572.83172194757	2090.48157645347	2925.10039819399
"PWY-5189"	6751.30524816715	8224.62354986639	3738.81097133607	7638.42856515326	7142.78518183129	2929.70824028615	2429.74564369483	3971.44235878928	3605.47935992809	2661.87354059622	4880.27200155234	4879.27655309225	3392.90555241117	9537.16379494282	2352.34963032183	3087.70443867908	3284.46141614582	3298.1931364682	2696.56156151688	2978.12957295132	3615.21244882641	2713.36036747251	447.524248415957	2050.04604019372	3821.93820895985	3089.18965771804	3505.31591520151	2647.1025637322	5104.12023139619	3499.74826752432	4288.81066171891	6274.33775938286	1999.84272327631	2707.63047526865
"PWY-5198"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5265"	0	35.8950954185878	0	0	1508.08248102938	1856.97103472824	17.9355790350081	0	68.5390505767347	56.1568397453305	995.243071612007	0	0	0	92.2145640814198	0	0	0	0	136.127510808411	0	390.552629012988	0	0	0	45.7523255003596	38.5272990762839	62.6040090097009	0	50.8636931824615	0	0	0	50.325545841452
"PWY-5304"	846	250	282	276	618	362	246.68	472	1146	154	434	630	126.66	244	212	150	174	574	416	508	418	164	82.5	1172	288	242	334	364	2505.2	562	396	864	318	270
"PWY-5345"	1984.75751008793	423.901279078717	607.747358990703	1325.33896563939	1834.63533900793	1153.55065545979	249.457529755568	1045.3623483021	1251.71262019204	436.717952336255	1525.45214982803	420.069241749173	387.76141550901	470.182043554761	1360.13500053659	683.328696019039	329.153420847537	489.289193586165	586.81918613999	598.840605289557	746.777468176526	628.706195132774	213.986422027033	109.282316003973	960.902100038276	523.133484797051	520.907910354339	939.637452672339	6372.05358011396	711.348554341017	631.685637130456	1226.28984653245	306.02110887531	382.101950843562
"PWY-5347"	6909.80955891835	7267.25525703179	3859.0504779863	9195.39417276895	4885.4736939053	4125.90158063746	1425.05158661713	3603.85031261085	1982.14650376502	2693.19919765318	5539.48758600028	5076.16260374908	2841.85183487789	8151.24479784227	3881.29965641117	4754.93297104925	2623.96191129795	1643.27114182996	2962.03653448877	1329.40604107015	4092.44317682815	3087.53269519727	2573.58115589537	1216.55860140806	2581.8374420904	874.299390807449	1161.76361073626	5414.87890231596	758.017896910428	3463.39558284536	2879.15003453635	4440.64401831564	2689.15330683182	485.446006937407
"PWY-5384"	3512.55437416151	809.741048002601	2058.88644161328	2378.55932930353	2352.59560625625	1561.21022137559	444.196620945429	2052.21406008754	771.008152449418	1218.04346449435	1645.67492061275	746.213513368742	589.775081098704	2122.25099118717	1839.45225030281	2154.27820670782	1326.97629676342	902.117876190709	1205.32258090354	651.669310715094	2538.32094331121	1013.57633701662	1580.77967766692	642.944482621433	901.056366453466	932.933551201337	924.917832491167	2704.72146693751	4409.38246354962	1641.02976967336	566.642560171781	1543.16629019118	998.948751357874	399.992126052433
"PWY-5415"	0	0	0	0	17.7665144586197	16.0489195836024	0	0	0	0	13.2309076759096	0	0	0	0	0	0	0	0	0	0	1.66477333765612	0	0	0	0	0	0	39.0191223627529	0	0	0	0	0
"PWY-5417"	0	0	0	0	7.79057591623037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.642857142857143	0	0	0	0	0	0	0	0	0	0	0
"PWY-5419"	0	0	0	0	29.9324527679194	27.4416114133695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5420"	0	0	0	0	20.7616193234789	18.4947021781911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5430"	0	0	0	0	10.6950720820722	13.3536819315114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5431"	0	0	0	0	7.79057591623037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.642857142857143	0	0	0	0	0	0	0	0	0	0	0
"PWY-5484"	21875.1940120205	9278.16078315265	9751.63514304407	12441.3333745567	20844.5013366989	10113.1639661925	4713.7057779807	11998.084729513	12081.3409243721	9432.64188717249	10978.5778579648	8240.14783092588	5966.49397099655	11925.544614837	9068.52404159115	11388.4762244004	8114.7777875458	9084.88997173502	9767.00660834702	12717.6898734634	13598.5958908722	6446.35535999687	6109.47498343776	6445.79336998562	9823.82732754784	9376.83099358516	9081.77247268589	12503.1639256053	16404.7963509081	10371.7223353932	8618.47301024721	10630.8238050544	5875.71396228043	9651.44174034048
"PWY-5505"	16448.5635387537	13040.9538453985	8132.85700397123	14231.3225253925	14567.0768219283	5869.68256201959	4603.70429252188	8425.62161386163	7566.2990202721	5354.6592774958	9155.68001236574	8759.93290685511	5765.85106563424	14188.503864732	5081.52175699325	7513.81479176651	6760.3275815561	7487.88677910407	5892.04537396477	7128.00689175047	7397.54627094008	5231.15532952226	1218.81160989795	3977.59078365811	7389.25453530184	6906.42700614987	7801.33204011939	6430.01123189908	7362.00750967088	7296.24144346614	9287.17488523256	13663.4763551043	5086.993617572	6637.8866002349
"PWY-5507"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5509"	8838.69033113769	7555.31440251574	3940.74227992426	6999.63339007562	7886.9869656232	2623.71474023135	2255.58988427209	4256.29654948827	3554.62036810804	2473.96759881159	4522.32265925301	4274.57444632818	2816.19392133807	7608.45331552784	2222.82568440797	3624.9300090253	2721.18288170966	3684.5251369695	2506.26455988783	3085.72719106163	4322.02591399247	2517.55303109055	522.597406732434	1774.38309369693	3475.56499574515	3345.82198319866	4017.21240125175	2998.26239653031	6710.1470423989	3162.28840373094	4725.54085246453	7952.44263330589	1958.53066825383	3318.21752727046
"PWY-5531"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5651"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5654"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5659"	11484.5378324731	4771.8254458263	4785.36720481789	6440.07163690932	11443.6971512437	5126.95611909562	2876.326759688	7101.67501399366	7124.46563585259	5175.77083603495	5782.82329969959	4576.29114323552	2829.26150217556	4180.04281305658	4560.11047685798	4769.38237197577	3314.21121752667	5006.81662558276	5230.70722228912	6674.30830209379	6356.21662235592	3091.67498738723	2614.68602390286	3596.45720615678	5294.08873972069	4570.33373643506	4653.91454117479	5693.19421040865	12708.8081696299	5698.60782772655	5411.5096788738	7506.17683341843	3343.35535243468	4846.74951181937
"PWY-5667"	23902.4364172097	14193.6783490054	10838.7510524002	18210.7115276445	22150.1048464748	10503.0751776801	5678.94966366324	12311.0718786785	12171.7108287081	9462.70638389855	12775.9011658146	10657.4705456754	7270.35168468838	16735.6492271388	9695.01222939941	12126.9885784887	9003.43574718516	10044.7596721931	10533.9982833237	13163.1318136063	14006.9371750632	7388.92246948562	6632.46468696633	6527.36291666346	10773.944295178	9901.59591116783	10233.4254195295	13121.8166086819	13903.6648879714	10904.4297364538	10906.3562887966	16657.4475502167	6188.03761961145	10205.2468447301
"PWY-5676"	499.55623882655	0	0	82.6128660230833	162.712371727976	68.2654851820365	7.97071765312757	0	0	0	0	0	66.4767259583019	0	58.0375659315933	58.0783586721052	0	68.9327626275248	0	0	190.954931790208	0	0	46.2205886905979	145.454559957021	0	0	0	0	46.8030115349612	58.4990622889152	35.7241412237863	0	0
"PWY-5677"	211.480567364771	16.1173816475699	67.8740403708569	198.512100332537	358.819341789886	37.2767901303457	0	182.943817119904	107.219472474751	84.752595498017	20.4968970135982	7.84464050734454	73.9484525388955	23.552733193277	50.3307108709977	135.44778991908	33.7900962602059	77.3055895873979	59.9315733963708	53.3044668907889	385.239933249395	10.7863420835282	7.27252935494444	108.452735492924	190.087748844557	220.336955733786	220.206051787679	38.6257984213254	0	6.86608155676259	53.7073823876664	157.387478898741	19.8946727905005	124.454864911404
"PWY-5686"	24014.8593891201	13682.1966786319	10700.0635327146	17493.5766717293	22089.1269938585	10404.0669338536	5625.55208525991	12563.6437065157	12400.6550789884	9561.78070772805	12587.5121057858	10358.3290310365	7028.21190128461	15968.9048370553	9646.03715229776	12198.0954329193	8779.52573868324	10076.1338457529	10580.7035654039	13167.4728606753	14167.1473586174	7308.81956125474	6888.29649319822	6723.09495938661	10658.5560352024	9812.58622506915	10090.9999942112	13117.2671972564	15075.8057946742	10917.2681904406	11021.3139219996	16685.4908088608	6396.96809844363	10018.2439340607
